"bookID","title","authors","average_rating","isbn","isbn13","language_code","num_pages","ratings_count","text_reviews_count","publication_date","publisher"
"157","Anna Karenina","Leo Tolstoy/Constance Garnett/Amy Mandelker","4.05","1593081774","9.78E+12","eng","803","303","48","8/26/2004","Barnes & Noble"
"570","HTML  XHTML  and CSS (Visual Quickstart Guide)","Elizabeth Castro","3.8","321430840","9.78E+12","en-US","456","549","42","8/1/2006","Peachpit Press"
"848","No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson","Alex C. Jones/Diane M. Hanson/Stephen K. Ray","4.27","898709199","9.78E+12","en-GB","259","51","7","4/30/2006","Ignatius Press"
"866","Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9)","Hiromu Arakawa/Akira Watanabe","4.57","","9.78E+12","eng","192","9013","153","9/19/2006","VIZ Media LLC"
"870","Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1)","Hiromu Arakawa/Akira Watanabe","4.5","1591169208","9.78E+12","eng","192","111091","1427","5/3/2005","VIZ Media LLC"
"880","Pompeii","Robert   Harris","3.82","812974611","9.78E+12","eng","274","26922","1726","11/8/2005","Random House Trade Paperbacks"
"1138","The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers","Robert P. Miles/Tom Osborne","4.07","471430455","9.78E+12","eng","432","39","1","4/18/2003","Wiley"
"1188","Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen","Ursula Ferrigno/Jason Lowe/Maxine  Clark","4.08","1841721476","6.94E+11","eng","64","8","2","3/1/2001","Ryland Peters & Small"
"1318","Last of the Amazons","Steven Pressfield","3.76","553382047","9.78E+12","eng","400","2138","125","7/1/2003","Bantam"
"1731","Practice! Practice!: A Latin Via Ovid Workbook","Norma Goldman/Michael  Rossi","4.08","814326110","9.78E+12","eng","152","12","0","7/1/1995","Wayne State University Press"
"2249","The Seven Habits of Highly Effective People","Stephen R. Covey","4.1","671708635","9.78E+12","eng","368","2505","233","9/15/1990","Free Press"
"2253","Daily Reflections For Highly Effective People: Living the 7 Habits of Highly Successful People Every Day","Stephen R. Covey","3.9","671887173","9.78E+12","eng","384","336","26","3/21/1994","Simon  Schuster"
"2718","Salt in His Shoes: Michael Jordan in Pursuit of a Dream","Deloris Jordan/Kadir Nelson/Roslyn M. Jordan","4.2","689834195","9.78E+12","eng","32","1178","173","11/1/2003","Simon  Schuster Books for Young Readers"
"3469","Nights in Rodanthe","Nicholas Sparks","3.84","446691798","9.78E+12","en-US","212","1596","157","8/1/2004","Warner Books"
"3985","The Amazing Adventures of Kavalier & Clay","Michael Chabon","4.18","312282990","9.78E+12","eng","639","165862","9143","8/25/2001","Picador USA"
"4352","Hello! Is That Grandma?","Ian Whybrow/Deborah Allwright","3.53","439944392","9.78E+12","en-GB","32","57","14","5/7/2007","Alison Green Books"
"4579","The Far Side of Evil","Sylvia Engdahl","3.98","142402931","9.78E+12","eng","324","60","9","1/13/2005","Firebird"
"4626","Hemingway & Bailey's Bartending Guide to Great American Writers","Mark Bailey/Edward Hemingway","3.9","1565124820","9.78E+12","eng","97","132","24","10/13/2006","Algonquin Books"
"4627","For Whom The Bell Tolls","Ernest Hemingway","3.97","99481561","9.78E+12","en-GB","490","162","7","5/5/2005","Vintage Classics"
"4660","The 158-Pound Marriage","John Irving","3.24","345417968","9.78E+12","en-US","176","11346","280","6/23/1997","Ballantine Books"
"4669","The St. Paul Stories of F. Scott Fitzgerald","F. Scott Fitzgerald/Dave Page/Patricia Hampl","4","873515129","9.78E+12","en-US","328","100","11","9/24/2004","Minnesota Historical Society Press"
"4951","Feeding the Hungry Heart: The Experience of Compulsive Eating","Geneen Roth","3.96","452270839","9.78E+12","eng","224","749","46","9/1/1993","Plume"
"5132","Huxley and God: Essays on Religious Experience","Aldous Huxley/Huston Smith/Jacqueline Hazard Bridgeman","4.3","824522524","9.78E+12","eng","320","98","4","3/1/2003","The Crossroad Publishing Company"
"5371","Amber Brown Is Not a Crayon","Paula Danziger/Tony Ross","3.84","142406198","9.78E+12","eng","96","4787","189","9/7/2006","Puffin Books"
"5712","If I Die in a Combat Zone","Tim O'Brien","3.95","7162995","9.78E+12","eng","208","11","0","4/7/2003","Flamingo"
"5877","The Regeneration Trilogy (Regeneration  #1-3)","Pat Barker","4.38","670869295","9.78E+12","eng","592","1588","95","1/1/1996","Viking Books"
"5880","The Sparrow (The Sparrow  #1)","Mary Doria Russell","4.16","552997773","9.78E+12","eng","506","664","103","11/1/1997","Black Swan"
"5898","The Lord of the Rings (The Lord of the Rings  #1-3)","J.R.R. Tolkien","4.5","7136587","9.78E+12","eng","1200","682","43","9/16/2002","Not Avail"
"6293","Road Trip USA: Cross-Country Adventures on America's Two-Lane Highways","Jamie Jensen","3.96","1566917662","9.78E+12","en-US","964","448","21","3/31/2006","Rick Steves"
"6542","The Patricia Cornwell CD Audio Treasury: All That Remains / Cruel & Unusual (Kay Scarpetta  #3  #4)","Patricia Cornwell/Kate Burton","4.16","60791217","9.78E+12","eng","0","202","1","7/26/2005","HarperAudio"
"6794","Cloud Atlas","David Mitchell","4.02","340822783","9.78E+12","eng","529","6985","957","2/21/2005","Sceptre"
"6862","Amsterdam","Ian McEwan","3.43","385494246","9.78E+12","eng","208","35998","2445","11/2/1999","Anchor Books/Knopf Doubleday Publishing Group"
"7037","In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6)","Alexander McCall Smith/Lisette Lecat","4.08","1419311743","9.78E+12","eng","10","133","23","3/2/2005","Recorded Books  Inc."
